,best
0,1.3862943611198906
1,1.9459101490553132
2,0.6931471805599453
3,2.70805020110221
4,2.772588722239781
5,1.0986122886681098
6,1.0986122886681098
7,2.8903717578961645
8,1.0986122886681098
9,3.091042453358316
10,1.3862943611198906
11,2.0794415416798357
12,1.9459101490553132
13,0.6931471805599453
14,1.9459101490553132
15,1.6094379124341003
16,1.6094379124341003
17,2.3978952727983707
18,2.5649493574615367
19,1.9459101490553132
20,2.8903717578961645
21,2.0794415416798357
22,3.091042453358316
23,2.772588722239781
24,2.0794415416798357
25,3.258096538021482
26,0.0
27,0.0
28,1.0986122886681098
29,1.0986122886681098
30,2.0794415416798357
31,3.713572066704308
32,0.6931471805599453
33,2.6390573296152584
34,1.3862943611198906
35,1.3862943611198906
36,2.6390573296152584
37,2.9444389791664403
38,2.70805020110221
39,1.9459101490553132
40,1.0986122886681098
41,1.3862943611198906
42,3.091042453358316
43,1.6094379124341003
44,1.6094379124341003
45,1.791759469228055
46,0.0
47,0.0
48,1.6094379124341003
49,2.6390573296152584
50,2.833213344056216
51,2.302585092994046
52,1.6094379124341003
53,1.791759469228055
54,4.394449154672439
55,2.3978952727983707
56,0.6931471805599453
57,1.0986122886681098
58,0.0
59,0.0
60,0.6931471805599453
61,3.332204510175204
62,1.3862943611198906
63,2.1972245773362196
64,1.3862943611198906
65,1.9459101490553132
66,1.3862943611198906
67,0.0
68,0.0
69,0.0
70,1.791759469228055
71,2.5649493574615367
72,2.1972245773362196
73,1.791759469228055
74,1.0986122886681098
75,0.0
76,1.0986122886681098
77,1.791759469228055
78,0.6931471805599453
79,0.6931471805599453
80,1.0986122886681098
81,1.0986122886681098
82,1.3862943611198906
83,2.0794415416798357
84,1.3862943611198906
85,2.4849066497880004
86,0.6931471805599453
87,1.0986122886681098
88,1.0986122886681098
89,2.3978952727983707
90,2.9444389791664403
91,2.302585092994046
92,0.6931471805599453
93,1.0986122886681098
94,0.6931471805599453
95,0.6931471805599453
96,0.6931471805599453
97,1.6094379124341003
98,0.6931471805599453
99,0.0
100,2.1972245773362196
101,2.0794415416798357
102,0.6931471805599453
103,1.0986122886681098
104,2.1972245773362196
105,1.9459101490553132
106,4.51085950651685
107,1.9459101490553132
108,1.9459101490553132
109,0.6931471805599453
110,1.0986122886681098
111,2.0794415416798357
112,3.2188758248682006
113,0.6931471805599453
114,1.791759469228055
115,0.0
116,1.6094379124341003
117,1.6094379124341003
118,1.3862943611198906
119,0.6931471805599453
120,2.302585092994046
121,2.3978952727983707
122,0.6931471805599453
123,1.0986122886681098
124,0.6931471805599453
125,0.6931471805599453
126,0.0
127,1.0986122886681098
128,1.0986122886681098
129,1.0986122886681098
130,0.0
131,0.0
132,1.3862943611198906
133,0.0
134,0.6931471805599453
135,1.791759469228055
136,0.6931471805599453
137,2.833213344056216
138,2.3978952727983707
139,2.5649493574615367
140,1.791759469228055
141,1.9459101490553132
142,0.6931471805599453
143,0.6931471805599453
144,0.6931471805599453
145,1.791759469228055
146,2.5649493574615367
147,1.3862943611198906
148,2.1972245773362196
149,2.6390573296152584
150,3.7612001156935624
151,1.9459101490553132
152,2.4849066497880004
153,1.3862943611198906
154,2.0794415416798357
155,1.6094379124341003
156,0.6931471805599453
157,3.295836866004329
158,2.302585092994046
159,3.1354942159291497
160,2.70805020110221
161,2.302585092994046
162,1.791759469228055
163,3.258096538021482
164,1.0986122886681098
165,2.4849066497880004
166,2.0794415416798357
167,2.70805020110221
168,1.9459101490553132
169,1.791759469228055
170,1.3862943611198906
171,1.9459101490553132
172,1.9459101490553132
173,2.4849066497880004
174,1.791759469228055
175,1.9459101490553132
176,3.2188758248682006
177,1.6094379124341003
178,0.6931471805599453
179,0.6931471805599453
180,1.6094379124341003
181,0.0
182,2.302585092994046
183,2.302585092994046
184,1.791759469228055
185,2.0794415416798357
186,1.791759469228055
187,2.5649493574615367
188,3.1354942159291497
189,4.394449154672439
190,2.995732273553991
191,2.5649493574615367
192,2.3978952727983707
193,1.3862943611198906
194,1.0986122886681098
195,2.70805020110221
196,0.6931471805599453
197,0.0
198,5.017279836814924
199,2.70805020110221
200,2.995732273553991
201,1.0986122886681098
202,4.6443908991413725
203,1.3862943611198906
204,3.6375861597263857
205,5.017279836814924
206,2.995732273553991
207,1.6094379124341003
208,0.6931471805599453
209,4.553876891600541
210,4.48863636973214
211,4.61512051684126
212,4.875197323201151
213,3.4339872044851463
214,3.6109179126442243
215,4.48863636973214
216,3.9512437185814275
217,3.4339872044851463
218,6.037870919922137
219,5.049856007249537
220,1.0986122886681098
221,6.077642243349034
222,3.2188758248682006
223,6.295266001439646
224,6.747586526829315
225,5.814130531825066
226,6.47543271670409
227,4.2626798770413155
228,4.61512051684126
229,5.303304908059076
230,6.042632833682381
231,1.0986122886681098
232,6.269096283706261
233,4.919980925828125
234,2.9444389791664403
235,3.6375861597263857
236,3.9318256327243257
237,4.143134726391533
238,5.308267697401205
239,2.4849066497880004
240,6.423246963533519
241,6.78897174299217
242,2.1972245773362196
243,5.017279836814924
244,3.9889840465642745
245,5.303304908059076
246,1.0986122886681098
247,4.143134726391533
248,5.356586274672012
249,3.295836866004329
250,5.303304908059076
251,2.5649493574615367
252,2.772588722239781
253,7.136483208590247
254,7.313886831633462
255,3.332204510175204
256,4.624972813284271
257,4.02535169073515
258,3.2188758248682006
259,4.0943445622221
260,1.791759469228055
261,6.5337888379333435
262,5.3981627015177525
263,5.860786223465865
264,6.7226297948554485
265,5.198497031265826
266,4.969813299576001
267,6.2166061010848646
268,1.6094379124341003
269,6.398594934535208
270,5.303304908059076
271,1.3862943611198906
272,5.5254529391317835
273,4.454347296253507
274,1.0986122886681098
275,2.1972245773362196
276,4.290459441148391
277,3.9318256327243257
278,4.61512051684126
279,5.303304908059076
280,5.198497031265826
281,3.9318256327243257
282,5.993961427306569
283,7.371489295214277
284,7.313886831633462
285,4.6443908991413725
286,6.55250788703459
287,6.90875477931522
288,5.860786223465865
289,1.0986122886681098
290,3.2188758248682006
291,6.2166061010848646
292,5.303304908059076
293,4.394449154672439
294,5.5254529391317835
295,5.303304908059076
296,4.584967478670572
297,5.739792912179234
298,2.6390573296152584
299,5.303304908059076
300,5.303304908059076
301,5.638354669333745
302,5.303304908059076
303,2.772588722239781
304,0.6931471805599453
305,2.833213344056216
306,5.707110264748875
307,5.303304908059076
308,5.303304908059076
309,8.071218539969863
310,6.133398042996649
311,5.017279836814924
312,5.707110264748875
313,5.081404364984463
314,3.6375861597263857
315,5.707110264748875
316,2.833213344056216
317,1.0986122886681098
318,4.356708826689592
319,3.4339872044851463
320,5.220355825078324
321,4.68213122712422
322,3.8501476017100584
323,3.6635616461296463
324,2.70805020110221
325,3.044522437723423
326,5.303304908059076
327,6.2166061010848646
328,4.2626798770413155
329,0.6931471805599453
330,5.303304908059076
331,2.8903717578961645
332,3.4011973816621555
333,2.833213344056216
334,2.772588722239781
335,2.4849066497880004
336,3.044522437723423
337,3.4339872044851463
338,5.303304908059076
339,2.4849066497880004
340,5.111987788356544
341,3.4339872044851463
342,5.303304908059076
343,2.302585092994046
344,0.6931471805599453
345,2.1972245773362196
346,3.1354942159291497
347,1.3862943611198906
348,2.3978952727983707
349,1.0986122886681098
350,2.0794415416798357
351,1.6094379124341003
352,0.6931471805599453
353,0.6931471805599453
354,3.258096538021482
355,1.9459101490553132
356,1.0986122886681098
357,1.791759469228055
358,0.6931471805599453
359,1.0986122886681098
360,1.9459101490553132
361,2.4849066497880004
362,1.6094379124341003
363,1.0986122886681098
364,0.6931471805599453
365,0.6931471805599453
366,1.6094379124341003
367,2.3978952727983707
368,0.6931471805599453
369,0.6931471805599453
370,1.0986122886681098
371,1.0986122886681098
372,1.3862943611198906
373,0.6931471805599453
374,3.9318256327243257
375,2.3978952727983707
376,2.4849066497880004
377,1.3862943611198906
378,0.6931471805599453
379,1.0986122886681098
380,0.6931471805599453
381,1.3862943611198906
382,3.4657359027997265
383,0.6931471805599453
384,1.6094379124341003
385,3.367295829986474
386,0.6931471805599453
387,1.0986122886681098
388,4.61512051684126
389,0.6931471805599453
390,0.6931471805599453
391,1.0986122886681098
392,0.6931471805599453
393,4.61512051684126
394,1.6094379124341003
395,1.0986122886681098
396,0.6931471805599453
397,1.0986122886681098
398,3.2188758248682006
399,2.302585092994046
400,1.3862943611198906
401,0.6931471805599453
402,1.0986122886681098
403,1.0986122886681098
404,1.0986122886681098
405,2.5649493574615367
406,1.791759469228055
407,2.302585092994046
408,3.258096538021482
409,1.791759469228055
410,0.6931471805599453
411,2.9444389791664403
412,0.6931471805599453
413,0.0
414,1.0986122886681098
415,1.6094379124341003
416,1.0986122886681098
417,2.0794415416798357
418,2.1972245773362196
419,0.6931471805599453
420,5.153291594497779
421,3.367295829986474
422,3.044522437723423
423,1.0986122886681098
424,0.6931471805599453
425,2.772588722239781
426,3.4339872044851463
427,1.3862943611198906
428,3.713572066704308
429,2.1972245773362196
430,2.1972245773362196
431,1.6094379124341003
432,2.302585092994046
433,1.3862943611198906
434,0.6931471805599453
435,3.091042453358316
436,3.044522437723423
437,0.6931471805599453
438,3.912023005428146
439,2.0794415416798357
440,0.6931471805599453
441,2.833213344056216
442,0.6931471805599453
443,0.6931471805599453
444,1.0986122886681098
445,0.6931471805599453
446,1.0986122886681098
447,1.6094379124341003
448,0.6931471805599453
449,2.4849066497880004
450,1.791759469228055
451,2.772588722239781
452,0.6931471805599453
453,1.9459101490553132
454,2.6390573296152584
455,2.3978952727983707
456,0.6931471805599453
457,1.6094379124341003
458,3.091042453358316
459,1.0986122886681098
460,0.0
461,5.303304908059076
462,4.2626798770413155
463,2.0794415416798357
464,2.302585092994046
465,1.6094379124341003
466,3.2188758248682006
467,1.791759469228055
468,1.0986122886681098
469,1.3862943611198906
470,2.302585092994046
471,3.4339872044851463
472,0.6931471805599453
473,2.833213344056216
474,5.303304908059076
475,3.2188758248682006
476,6.398594934535208
477,0.0
478,2.772588722239781
479,3.332204510175204
480,0.0
481,3.2188758248682006
482,5.5254529391317835
483,2.5649493574615367
484,1.6094379124341003
485,0.6931471805599453
486,0.6931471805599453
487,0.6931471805599453
488,0.6931471805599453
489,0.6931471805599453
490,0.6931471805599453
491,0.0
492,0.0
493,0.6931471805599453
494,1.0986122886681098
495,0.6931471805599453
496,0.6931471805599453
497,1.0986122886681098
498,1.9459101490553132
499,2.302585092994046
500,3.367295829986474
501,2.772588722239781
502,2.1972245773362196
503,0.0
504,0.0
505,0.0
506,2.4849066497880004
507,2.9444389791664403
508,1.6094379124341003
509,2.0794415416798357
510,6.2166061010848646
511,6.2166061010848646
512,3.9318256327243257
513,2.772588722239781
514,2.302585092994046
515,2.6390573296152584
516,1.6094379124341003
517,1.0986122886681098
518,3.1354942159291497
519,1.9459101490553132
520,3.4965075614664802
521,3.4657359027997265
522,2.70805020110221
523,2.833213344056216
524,1.6094379124341003
525,2.3978952727983707
526,2.8903717578961645
527,2.772588722239781
528,1.791759469228055
529,5.003946305945459
530,2.9444389791664403
531,3.6375861597263857
532,0.0
533,0.0
534,3.2188758248682006
535,3.4339872044851463
536,1.0986122886681098
537,3.044522437723423
538,1.9459101490553132
539,1.3862943611198906
540,1.6094379124341003
541,0.0
542,2.4849066497880004
543,5.605802066295998
544,0.0
545,2.9444389791664403
546,2.8903717578961645
547,3.044522437723423
548,3.044522437723423
549,2.302585092994046
550,3.6375861597263857
551,3.5553480614894135
552,4.07753744390572
553,2.302585092994046
554,2.995732273553991
555,2.1972245773362196
556,1.791759469228055
557,3.044522437723423
558,2.302585092994046
559,2.0794415416798357
560,3.295836866004329
561,3.5263605246161616
562,3.2188758248682006
563,2.3978952727983707
564,2.3978952727983707
565,2.6390573296152584
566,2.6390573296152584
567,2.0794415416798357
568,3.4657359027997265
569,2.8903717578961645
570,2.772588722239781
571,3.258096538021482
572,2.9444389791664403
573,2.302585092994046
574,4.634728988229636
575,2.833213344056216
576,1.9459101490553132
577,2.4849066497880004
578,3.871201010907891
579,1.791759469228055
580,3.6888794541139363
581,3.4339872044851463
582,3.4657359027997265
583,2.833213344056216
584,1.0986122886681098
585,0.6931471805599453
586,0.6931471805599453
587,1.9459101490553132
588,1.0986122886681098
589,0.0
590,1.0986122886681098
591,0.6931471805599453
592,2.4849066497880004
593,1.3862943611198906
594,1.0986122886681098
595,0.6931471805599453
596,1.3862943611198906
597,1.0986122886681098
598,1.9459101490553132
599,0.6931471805599453
600,1.0986122886681098
601,1.0986122886681098
602,1.3862943611198906
603,0.6931471805599453
604,0.6931471805599453
605,1.9459101490553132
606,0.6931471805599453
607,1.6094379124341003
608,1.0986122886681098
609,1.0986122886681098
610,1.0986122886681098
611,0.6931471805599453
612,1.3862943611198906
613,1.0986122886681098
614,0.6931471805599453
615,1.9459101490553132
616,0.6931471805599453
617,3.1354942159291497
618,1.0986122886681098
619,1.0986122886681098
620,1.0986122886681098
621,0.6931471805599453
622,0.6931471805599453
623,1.0986122886681098
624,0.6931471805599453
625,0.6931471805599453
626,0.6931471805599453
627,0.6931471805599453
628,0.6931471805599453
629,0.6931471805599453
630,1.0986122886681098
631,0.6931471805599453
632,0.6931471805599453
633,0.6931471805599453
634,2.1972245773362196
635,0.6931471805599453
636,0.6931471805599453
637,0.6931471805599453
638,0.6931471805599453
639,0.6931471805599453
640,0.6931471805599453
641,1.0986122886681098
642,1.9459101490553132
643,1.791759469228055
644,2.3978952727983707
645,1.3862943611198906
646,1.6094379124341003
647,0.6931471805599453
648,1.0986122886681098
649,0.6931471805599453
650,0.6931471805599453
651,0.6931471805599453
652,0.6931471805599453
653,0.6931471805599453
654,1.6094379124341003
655,0.6931471805599453
656,0.6931471805599453
657,0.6931471805599453
658,0.6931471805599453
659,0.6931471805599453
660,2.833213344056216
661,0.6931471805599453
662,0.6931471805599453
663,0.0
664,1.6094379124341003
665,0.6931471805599453
666,0.6931471805599453
667,1.6094379124341003
668,0.6931471805599453
669,0.6931471805599453
670,1.9459101490553132
671,0.6931471805599453
672,0.6931471805599453
673,0.6931471805599453
674,0.6931471805599453
675,0.0
676,0.6931471805599453
677,0.0
678,0.6931471805599453
679,0.6931471805599453
680,1.3862943611198906
681,1.0986122886681098
682,0.6931471805599453
683,0.0
684,0.6931471805599453
685,0.6931471805599453
686,0.6931471805599453
687,1.9459101490553132
688,0.6931471805599453
689,1.0986122886681098
690,0.6931471805599453
691,0.6931471805599453
692,0.6931471805599453
693,0.6931471805599453
694,1.0986122886681098
695,0.6931471805599453
696,0.6931471805599453
697,1.3862943611198906
698,0.6931471805599453
699,0.6931471805599453
700,1.3862943611198906
701,1.6094379124341003
702,3.828641396489095
703,0.0
704,0.6931471805599453
705,1.0986122886681098
706,2.3978952727983707
707,1.3862943611198906
708,1.0986122886681098
709,0.0
710,1.791759469228055
711,3.332204510175204
712,0.6931471805599453
713,1.0986122886681098
714,0.0
715,2.4849066497880004
716,3.4011973816621555
717,1.791759469228055
718,1.0986122886681098
719,0.6931471805599453
720,2.302585092994046
721,1.3862943611198906
722,2.772588722239781
723,1.9459101490553132
724,1.3862943611198906
725,2.0794415416798357
726,1.9459101490553132
727,1.3862943611198906
728,1.791759469228055
729,1.6094379124341003
730,1.0986122886681098
731,1.3862943611198906
732,3.1354942159291497
733,0.6931471805599453
734,2.1972245773362196
735,2.3978952727983707
736,1.791759469228055
737,3.332204510175204
738,3.332204510175204
739,2.3978952727983707
740,2.0794415416798357
741,2.1972245773362196
742,2.302585092994046
743,2.9444389791664403
744,3.044522437723423
745,2.5649493574615367
746,1.3862943611198906
747,0.6931471805599453
748,3.1354942159291497
749,3.091042453358316
750,1.0986122886681098
751,1.6094379124341003
752,1.791759469228055
753,1.0986122886681098
754,1.791759469228055
755,3.5553480614894135
756,3.295836866004329
757,0.6931471805599453
758,1.791759469228055
759,0.6931471805599453
760,0.6931471805599453
761,1.9459101490553132
762,2.302585092994046
763,2.0794415416798357
764,1.791759469228055
765,0.6931471805599453
766,2.772588722239781
767,1.0986122886681098
768,1.0986122886681098
769,1.9459101490553132
770,0.6931471805599453
771,1.0986122886681098
772,1.0986122886681098
773,1.0986122886681098
774,0.6931471805599453
775,1.3862943611198906
776,0.0
777,0.6931471805599453
778,0.6931471805599453
779,1.6094379124341003
780,0.6931471805599453
781,0.6931471805599453
782,1.0986122886681098
783,2.1972245773362196
784,0.6931471805599453
785,0.6931471805599453
786,1.3862943611198906
787,1.6094379124341003
788,1.0986122886681098
789,1.3862943611198906
790,0.6931471805599453
791,0.6931471805599453
792,0.6931471805599453
793,1.0986122886681098
794,0.6931471805599453
795,0.0
796,0.0
797,0.0
798,0.6931471805599453
799,1.3862943611198906
800,0.6931471805599453
801,1.791759469228055
802,0.6931471805599453
803,0.6931471805599453
804,1.6094379124341003
805,0.6931471805599453
806,2.833213344056216
807,2.1972245773362196
808,0.6931471805599453
809,1.0986122886681098
810,1.0986122886681098
811,0.6931471805599453
812,0.6931471805599453
813,0.6931471805599453
814,1.3862943611198906
815,1.9459101490553132
816,1.9459101490553132
817,0.0
818,0.6931471805599453
819,0.6931471805599453
820,0.6931471805599453
821,0.0
822,0.6931471805599453
823,0.0
824,1.6094379124341003
825,0.6931471805599453
826,3.091042453358316
827,0.6931471805599453
828,1.791759469228055
829,0.6931471805599453
830,1.6094379124341003
831,0.6931471805599453
832,0.6931471805599453
833,2.8903717578961645
834,1.3862943611198906
835,0.6931471805599453
836,1.0986122886681098
837,1.0986122886681098
838,1.6094379124341003
839,2.302585092994046
840,0.6931471805599453
841,0.6931471805599453
842,1.3862943611198906
843,0.6931471805599453
844,0.6931471805599453
845,0.6931471805599453
846,1.0986122886681098
847,0.6931471805599453
848,1.0986122886681098
849,0.6931471805599453
850,0.6931471805599453
851,0.6931471805599453
852,1.6094379124341003
853,0.6931471805599453
854,0.6931471805599453
855,0.6931471805599453
856,1.0986122886681098
857,1.791759469228055
858,1.6094379124341003
859,0.6931471805599453
860,1.0986122886681098
861,0.6931471805599453
862,0.0
863,0.6931471805599453
864,1.0986122886681098
865,0.6931471805599453
866,0.6931471805599453
867,0.0
868,0.6931471805599453
869,0.0
870,2.4849066497880004
871,2.3978952727983707
872,1.6094379124341003
873,2.302585092994046
874,2.772588722239781
875,3.713572066704308
876,2.8903717578961645
877,2.6390573296152584
878,3.044522437723423
879,1.0986122886681098
880,1.0986122886681098
881,2.5649493574615367
882,2.9444389791664403
883,3.58351893845611
884,2.3978952727983707
885,3.091042453358316
886,3.5553480614894135
887,2.8903717578961645
888,2.4849066497880004
889,1.6094379124341003
890,1.0986122886681098
891,1.791759469228055
892,1.0986122886681098
893,2.5649493574615367
894,4.143134726391533
895,2.8903717578961645
896,2.0794415416798357
897,2.3978952727983707
898,1.3862943611198906
899,2.4849066497880004
900,1.0986122886681098
901,2.0794415416798357
902,3.828641396489095
903,0.6931471805599453
904,1.9459101490553132
905,1.9459101490553132
906,0.6931471805599453
907,0.0
908,2.772588722239781
909,0.0
910,0.6931471805599453
911,2.3978952727983707
912,2.70805020110221
913,1.3862943611198906
914,0.0
915,1.791759469228055
916,1.0986122886681098
917,1.3862943611198906
918,1.6094379124341003
919,0.6931471805599453
920,1.0986122886681098
921,1.6094379124341003
922,1.3862943611198906
923,0.0
924,1.0986122886681098
925,1.0986122886681098
926,1.0986122886681098
927,0.6931471805599453
928,1.0986122886681098
929,1.0986122886681098
930,2.4849066497880004
931,0.0
932,1.791759469228055
933,1.791759469228055
934,0.6931471805599453
935,0.6931471805599453
936,1.6094379124341003
937,1.0986122886681098
938,2.772588722239781
939,1.0986122886681098
